name,capacity,latitude,longitude
Webster Ave & Ford St,23,40.85556,-73.89615
Central Ave & Melrose St,17,40.70112,-73.93039
St Nicholas Ave & W 137 St,21,40.818477,-73.947568
Eastern Pkwy & Troy Ave,24,40.66929,-73.93679
W 52 St & 5 Ave,61,40.75992262,-73.97648516
Kent Ave & Grand St,45,40.716425,-73.96594
Central Ave & Flushing Ave,21,40.702831,-73.9333
Sunken Meadow Comfort Station,25,40.79558,-73.91906
Caton Ave & E 10 St,30,40.648481,-73.97058
39 St & 50 Ave,19,40.73824937345944,-73.92737478017807
Lenox Ave & W 146 St,24,40.821111,-73.935971
E 33 St & 5 Ave,40,40.74765947,-73.98490707
9 St & 44 Rd,34,40.74966,-73.9521
E 171 St & 3 Ave,24,40.837119,-73.902185
Suydam St & St. Nicholas Ave,17,40.70636,-73.91945
Nagle Ave & Ellwood St,21,40.86012,-73.928489
6 St & 7 Ave,21,40.6686627,-73.97988067
Loring Pl North & W 183 St,20,40.8604244,-73.9093359997
Carroll St & 6 Ave,23,40.6740886,-73.9787282
Halsey St & Evergreen Ave,22,40.68858,-73.91227
Bridge St & Water St,47,40.702969341552716,-73.98469090461731
34th Ave & Vernon Blvd,30,40.76535380385866,-73.93986314535141
Amsterdam Ave & W 162 St,27,40.83618,-73.939789
Grand Concourse & E 164 St,22,40.829608,-73.921461
Central Park West & W 72 St,51,40.77579376683666,-73.9762057363987
St Nicholas Ave & Manhattan Ave,31,40.809725,-73.953149
Goulden Ave & Bedford Park Blvd W,19,40.87387,-73.89533
55 St & Northern Blvd,23,40.75326,-73.90585
E 3 St & 1 Ave,59,40.72467721,-73.98783413
21 St & 23 Ave,22,40.778557,-73.919046
31 St & Thomson Ave,47,40.74469738,-73.93540375
Broadway & W 41 St,55,40.75513557,-73.98658032
Marcy Ave & Lafayette Ave,23,40.6900815,-73.947915
4 Ave & E 12 St,39,40.732647,-73.99011
Hanson Pl & Ashland Pl,39,40.68506807308177,-73.97790759801863
8 Ave & W 33 St,96,40.751551,-73.993934
E 68 St & 3 Ave,36,40.76712840349542,-73.96224617958069
Coffey St & Conover St,32,40.677236,-74.015665
E 7 St & Ave B,47,40.7251285241158,-73.98131668567657
8 Ave & W 49 St,65,40.76171227910671,-73.98655101656914
Division St & Bowery,49,40.714193,-73.996732
Steinway St & Ditmars Blvd,21,40.772717,-73.906127
Park Ave & E 162 St,21,40.825716,-73.915585
Smith St & 9 St,23,40.6746957,-73.99785768
Myrtle Ave & Fleet Pl,47,40.693534,-73.981909
Clarkson Ave & E 40 St,0,40.65592,-73.94068
E 39 St & Church Ave,0,40.65137,-73.9409
E 49 St & Church Ave,0,40.65182,-73.93135
Beverley Rd & Flatbush Ave,0,40.64499,-73.95818
Rugby Rd & Beverley Rd,0,40.64435,-73.96591
Albemarle Rd & E 21 St,0,40.64741,-73.95933
E 34 St & Linden Blvd,0,40.65302,-73.94599
Linden Blvd & Utica Ave,0,40.65388,-73.9308
Lott St & Erasmus St,0,40.64949,-73.95408
Freeman St & Southern Blvd,23,40.830051,-73.892103
Pacific St & Thomas S. Boyland St,21,40.67568,-73.91396
Gerard Ave & McClellan St,30,40.833909,-73.92112
Monroe St & Patchen Ave,20,40.68814,-73.92693
Cypress Ave & Palmetto St,25,40.701573408737914,-73.90876293182373
Ogden Ave & W 164 St,19,40.832812,-73.929372
University Ave & Brandt Pl,23,40.848354,-73.918389
Lenox Ave & W 130 St,25,40.8107922,-73.9430681
30 St & 48 Ave,29,40.7413272,-73.937999
Windsor Pl & 8 Ave,20,40.660906,-73.983074
Woodside Ave & 55 St,19,40.74679,-73.90893
E 16 St & 5 Ave,65,40.73726186,-73.99238967
Chauncey St & Malcolm X Blvd,24,40.68044,-73.92842
46 St & 7 Ave,21,40.644743,-74.003754
19 St & 8 Ave,23,40.658489,-73.985543
Amsterdam Ave & W 136 St,21,40.819746,-73.951819
Wyckoff St & 3 Ave,22,40.6827549,-73.98258555
Jerome Ave & Ogden Ave,21,40.829797,-73.931015
Broadway & Madison St,25,40.68822,-73.91966
Forest Ave & Summerfield St,23,40.69922,-73.89795
